x,y_0_5,y_1_0,y_1_5,y_2_0,y_2_5,y_3_0,y_3_5,y_4_0,y_8_0
-1.876876876876877,0.06352727600037182,0.07653370419701049,0.04233513895048246,0.01665521740674019,0.004518577400043264,0.0007529080710298886,6.472531321571348e-05,2.2511782657675046e-06,7.063055830373519e-68
-1.866866866866867,0.06376009675239422,0.07730365451824335,0.043213823886061854,0.017291212724345622,0.004817653745922099,0.0008364491578527715,7.656255217846548e-05,2.9272770127154506e-06,4.463462359854846e-65
-1.856856856856857,0.0639943992352522,0.07808135075355926,0.044108320234751745,0.017947896998291742,0.005133888985866641,0.0009282174045419815,9.036232376090943e-05,3.790511260552724e-06,2.2242382062200938e-62
-1.846846846846847,0.06423019861207642,0.0788668708290053,0.04501884920379294,0.01862578778121831,0.005468081699915548,0.0010289044458171102,0.0001064130590528296,4.888000686829571e-06,8.80634673903618e-60
-1.836836836836837,0.06446751027207298,0.0796602934545862,0.04594563343294725,0.01932540923871132,0.0058210556053371575,0.0011392477275938766,0.00012503937496133763,6.277454646139529e-06,2.7906355584081815e-57
-1.826826826826827,0.06470634983505173,0.08046169813215125,0.046888896954588685,0.02004729197106302,0.0061936596167964314,0.0012600323712083576,0.00014660566359520516,8.029232294831835e-06,7.128626958832434e-55
-1.816816816816817,0.06494673315606934,0.08127116516336039,0.04784886515195371,0.020791972821751967,0.006586767856775039,0.001392093008383105,0.00017151990519798934,1.0228730261977446e-05,1.4781661270619536e-52
-1.806806806806807,0.06518867633019114,0.08208877565773057,0.04882576471551181,0.021559994672378704,0.007001279613617449,0.0015363155755901403,0.00020023770113519412,1.2979134709186635e-05,2.504913732140439e-50
-1.796796796796797,0.06543219569737484,0.08291461154076303,0.04981982359741773,0.02235190622380232,0.00743811924460348,0.0016936390558275102,0.00023326652070345685,1.6404575836847705e-05,3.491983887700174e-48
-1.7867867867867866,0.06567730784748062,0.08374875556215232,0.050831270964005186,0.023168261763233496,0.007898236021486323,0.0018650571552227665,0.00027117015254257075,2.0653723553336007e-05,4.0303364709680304e-46
-1.7767767767767766,0.06592402962541097,0.08459129130407779,0.05186033714628268,0.024009620917050015,0.008382603915984279,0.0020516199013155324,0.00031457334820769126,2.590386300570401e-05,3.875282093627546e-44
